Part_Number,OD(mm),ID(mm),Ht(mm),AL_Value(nH/T^2),N,L(uH)
T130-75-279,33.0,19.8,11.1,81.0,80,518.4
T130-75-280,33.0,19.8,11.1,81.0,81,531.441
T130-75-281,33.0,19.8,11.1,81.0,82,544.644
T130-75-282,33.0,19.8,11.1,81.0,83,558.009
T130-75-283,33.0,19.8,11.1,81.0,84,571.536
T130-75-284,33.0,19.8,11.1,81.0,85,585.225
T130-75-285,33.0,19.8,11.1,81.0,86,599.076
T130-75-286,33.0,19.8,11.1,81.0,87,613.089
T130-75-287,33.0,19.8,11.1,81.0,88,627.264
T130-75-288,33.0,19.8,11.1,81.0,89,641.601
T130-75-289,33.0,19.8,11.1,81.0,90,656.1
T130-75-290,33.0,19.8,11.1,81.0,91,670.761
T130-75-291,33.0,19.8,11.1,81.0,92,685.584
T130-75-292,33.0,19.8,11.1,81.0,93,700.569
T130-75-293,33.0,19.8,11.1,81.0,94,715.716
T130-75-294,33.0,19.8,11.1,81.0,95,731.025
T130-75-295,33.0,19.8,11.1,81.0,96,746.496
T130-75-296,33.0,19.8,11.1,81.0,97,762.129
T130-75-297,33.0,19.8,11.1,81.0,98,777.924
T130-75-298,33.0,19.8,11.1,81.0,99,793.881
T130-75-299,33.0,19.8,11.1,81.0,100,810.0
T130-75-300,33.0,19.8,11.1,81.0,101,826.281
T130-75-301,33.0,19.8,11.1,81.0,102,842.724
T130-75-302,33.0,19.8,11.1,81.0,103,859.329
T130-75-303,33.0,19.8,11.1,81.0,104,876.096
T130-75-304,33.0,19.8,11.1,81.0,105,893.025
T130-75-305,33.0,19.8,11.1,81.0,106,910.116
T130-75-306,33.0,19.8,11.1,81.0,107,927.369
T130-75-307,33.0,19.8,11.1,81.0,108,944.784
T130-75-308,33.0,19.8,11.1,81.0,109,962.361
T130-75-309,33.0,19.8,11.1,81.0,110,980.1
T130-75-310,33.0,19.8,11.1,81.0,111,998.001
T130-75-311,33.0,19.8,11.1,81.0,112,1016.064
T130-75-312,33.0,19.8,11.1,81.0,113,1034.289
T130-75-313,33.0,19.8,11.1,81.0,114,1052.676
T130-75-314,33.0,19.8,11.1,81.0,115,1071.225
T130-75-315,33.0,19.8,11.1,81.0,116,1089.936
T130-75-316,33.0,19.8,11.1,81.0,117,1108.809
T130-75-317,33.0,19.8,11.1,81.0,118,1127.844
T130-75-318,33.0,19.8,11.1,81.0,119,1147.041
T130-75-319,33.0,19.8,11.1,81.0,120,1166.4
T130-75-320,33.0,19.8,11.1,81.0,121,1185.921
T130-75-321,33.0,19.8,11.1,81.0,122,1205.604
T130-75-322,33.0,19.8,11.1,81.0,123,1225.449
T130-75-323,33.0,19.8,11.1,81.0,124,1245.456
T130-75-324,33.0,19.8,11.1,81.0,125,1265.625
T130-75-325,33.0,19.8,11.1,81.0,126,1285.956
T130-75-326,33.0,19.8,11.1,81.0,127,1306.449
T130-75-327,33.0,19.8,11.1,81.0,128,1327.104
T130-75-328,33.0,19.8,11.1,81.0,129,1347.921
T130-75-329,33.0,19.8,11.1,81.0,130,1368.9
T130-75-330,33.0,19.8,11.1,81.0,131,1390.041
T130-75-331,33.0,19.8,11.1,81.0,132,1411.344
T130-75-332,33.0,19.8,11.1,81.0,133,1432.809
T130-75-333,33.0,19.8,11.1,81.0,134,1454.436
T130-75-334,33.0,19.8,11.1,81.0,135,1476.225
T130-75-335,33.0,19.8,11.1,81.0,136,1498.176
T130-75-336,33.0,19.8,11.1,81.0,137,1520.289
T130-75-337,33.0,19.8,11.1,81.0,138,1542.564
T130-75-338,33.0,19.8,11.1,81.0,139,1565.001
T130-75-339,33.0,19.8,11.1,81.0,140,1587.6
T130-75-340,33.0,19.8,11.1,81.0,141,1610.361
T130-75-341,33.0,19.8,11.1,81.0,142,1633.284
T130-75-342,33.0,19.8,11.1,81.0,143,1656.369
T130-75-343,33.0,19.8,11.1,81.0,144,1679.616
T130-75-344,33.0,19.8,11.1,81.0,145,1703.025
T130-75-345,33.0,19.8,11.1,81.0,146,1726.596
T130-75-346,33.0,19.8,11.1,81.0,147,1750.329
T130-75-347,33.0,19.8,11.1,81.0,148,1774.224
T130-75-348,33.0,19.8,11.1,81.0,149,1798.281
T130-75-349,33.0,19.8,11.1,81.0,150,1822.5
T130-75-350,33.0,19.8,11.1,81.0,151,1846.881
T130-75-351,33.0,19.8,11.1,81.0,152,1871.424
T130-75-352,33.0,19.8,11.1,81.0,153,1896.129
T130-75-353,33.0,19.8,11.1,81.0,154,1920.996
T130-75-354,33.0,19.8,11.1,81.0,155,1946.025
T130-75-355,33.0,19.8,11.1,81.0,156,1971.216
T130-75-356,33.0,19.8,11.1,81.0,157,1996.569
T141-75-219,35.9,22.4,10.5,75.0,20,30.0
T141-75-220,35.9,22.4,10.5,75.0,21,33.075
T141-75-221,35.9,22.4,10.5,75.0,22,36.3
T141-75-222,35.9,22.4,10.5,75.0,23,39.675
T141-75-223,35.9,22.4,10.5,75.0,24,43.2
T141-75-224,35.9,22.4,10.5,75.0,25,46.875
T141-75-225,35.9,22.4,10.5,75.0,26,50.7
T141-75-226,35.9,22.4,10.5,75.0,27,54.675
T141-75-227,35.9,22.4,10.5,75.0,28,58.8
T141-75-228,35.9,22.4,10.5,75.0,29,63.075
T141-75-229,35.9,22.4,10.5,75.0,30,67.5
T141-75-230,35.9,22.4,10.5,75.0,31,72.075
T141-75-231,35.9,22.4,10.5,75.0,32,76.8
T141-75-232,35.9,22.4,10.5,75.0,33,81.675
T141-75-233,35.9,22.4,10.5,75.0,34,86.7
T141-75-234,35.9,22.4,10.5,75.0,35,91.875
T141-75-235,35.9,22.4,10.5,75.0,36,97.2
T141-75-236,35.9,22.4,10.5,75.0,37,102.675
T141-75-237,35.9,22.4,10.5,75.0,38,108.3
T141-75-238,35.9,22.4,10.5,75.0,39,114.075
T141-75-239,35.9,22.4,10.5,75.0,40,120.0
T141-75-240,35.9,22.4,10.5,75.0,41,126.075
T141-75-241,35.9,22.4,10.5,75.0,42,132.3
T141-75-242,35.9,22.4,10.5,75.0,43,138.675
T141-75-243,35.9,22.4,10.5,75.0,44,145.2
T141-75-244,35.9,22.4,10.5,75.0,45,151.875
T141-75-245,35.9,22.4,10.5,75.0,46,158.7
T141-75-246,35.9,22.4,10.5,75.0,47,165.675
T141-75-247,35.9,22.4,10.5,75.0,48,172.8
T141-75-248,35.9,22.4,10.5,75.0,49,180.075
T141-75-249,35.9,22.4,10.5,75.0,50,187.5
T141-75-250,35.9,22.4,10.5,75.0,51,195.075
T141-75-251,35.9,22.4,10.5,75.0,52,202.8
T141-75-252,35.9,22.4,10.5,75.0,53,210.675
T141-75-253,35.9,22.4,10.5,75.0,54,218.7
T141-75-254,35.9,22.4,10.5,75.0,55,226.875
T141-75-255,35.9,22.4,10.5,75.0,56,235.2
T141-75-256,35.9,22.4,10.5,75.0,57,243.675
T141-75-257,35.9,22.4,10.5,75.0,58,252.3
T141-75-258,35.9,22.4,10.5,75.0,59,261.075
T141-75-259,35.9,22.4,10.5,75.0,60,270.0
T141-75-260,35.9,22.4,10.5,75.0,61,279.075
T141-75-261,35.9,22.4,10.5,75.0,62,288.3
T141-75-262,35.9,22.4,10.5,75.0,63,297.675
T141-75-263,35.9,22.4,10.5,75.0,64,307.2
T141-75-264,35.9,22.4,10.5,75.0,65,316.875
T141-75-265,35.9,22.4,10.5,75.0,66,326.7
T141-75-266,35.9,22.4,10.5,75.0,67,336.675
T141-75-267,35.9,22.4,10.5,75.0,68,346.8
T141-75-268,35.9,22.4,10.5,75.0,69,357.075
T141-75-269,35.9,22.4,10.5,75.0,70,367.5
T141-75-270,35.9,22.4,10.5,75.0,71,378.075
T141-75-271,35.9,22.4,10.5,75.0,72,388.8
T141-75-272,35.9,22.4,10.5,75.0,73,399.675
T141-75-273,35.9,22.4,10.5,75.0,74,410.7
T141-75-274,35.9,22.4,10.5,75.0,75,421.875
T141-75-275,35.9,22.4,10.5,75.0,76,433.2
T141-75-276,35.9,22.4,10.5,75.0,77,444.675
T141-75-277,35.9,22.4,10.5,75.0,78,456.3
T141-75-278,35.9,22.4,10.5,75.0,79,468.075
T141-75-279,35.9,22.4,10.5,75.0,80,480.0
T141-75-280,35.9,22.4,10.5,75.0,81,492.075
T141-75-281,35.9,22.4,10.5,75.0,82,504.3
T141-75-282,35.9,22.4,10.5,75.0,83,516.675
T141-75-283,35.9,22.4,10.5,75.0,84,529.2
T141-75-284,35.9,22.4,10.5,75.0,85,541.875
T141-75-285,35.9,22.4,10.5,75.0,86,554.7
T141-75-286,35.9,22.4,10.5,75.0,87,567.675
T141-75-287,35.9,22.4,10.5,75.0,88,580.8
T141-75-288,35.9,22.4,10.5,75.0,89,594.075
T141-75-289,35.9,22.4,10.5,75.0,90,607.5
T141-75-290,35.9,22.4,10.5,75.0,91,621.075
T141-75-291,35.9,22.4,10.5,75.0,92,634.8
T141-75-292,35.9,22.4,10.5,75.0,93,648.675
T141-75-293,35.9,22.4,10.5,75.0,94,662.7
T141-75-294,35.9,22.4,10.5,75.0,95,676.875
T141-75-295,35.9,22.4,10.5,75.0,96,691.2
T141-75-296,35.9,22.4,10.5,75.0,97,705.675
T141-75-297,35.9,22.4,10.5,75.0,98,720.3
T141-75-298,35.9,22.4,10.5,75.0,99,735.075
T141-75-299,35.9,22.4,10.5,75.0,100,750.0
T141-75-300,35.9,22.4,10.5,75.0,101,765.075
T141-75-301,35.9,22.4,10.5,75.0,102,780.3
T141-75-302,35.9,22.4,10.5,75.0,103,795.675
T141-75-303,35.9,22.4,10.5,75.0,104,811.2
T141-75-304,35.9,22.4,10.5,75.0,105,826.875
T141-75-305,35.9,22.4,10.5,75.0,106,842.7
T141-75-306,35.9,22.4,10.5,75.0,107,858.675
T141-75-307,35.9,22.4,10.5,75.0,108,874.8
T141-75-308,35.9,22.4,10.5,75.0,109,891.075
T141-75-309,35.9,22.4,10.5,75.0,110,907.5
T141-75-310,35.9,22.4,10.5,75.0,111,924.075
T141-75-311,35.9,22.4,10.5,75.0,112,940.8
T141-75-312,35.9,22.4,10.5,75.0,113,957.675
T141-75-313,35.9,22.4,10.5,75.0,114,974.7
T141-75-314,35.9,22.4,10.5,75.0,115,991.875
T141-75-315,35.9,22.4,10.5,75.0,116,1009.2
T141-75-316,35.9,22.4,10.5,75.0,117,1026.675
T141-75-317,35.9,22.4,10.5,75.0,118,1044.3
T141-75-318,35.9,22.4,10.5,75.0,119,1062.075
T141-75-319,35.9,22.4,10.5,75.0,120,1080.0
T141-75-320,35.9,22.4,10.5,75.0,121,1098.075
T141-75-321,35.9,22.4,10.5,75.0,122,1116.3
T141-75-322,35.9,22.4,10.5,75.0,123,1134.675
T141-75-323,35.9,22.4,10.5,75.0,124,1153.2
T141-75-324,35.9,22.4,10.5,75.0,125,1171.875
T141-75-325,35.9,22.4,10.5,75.0,126,1190.7
T141-75-326,35.9,22.4,10.5,75.0,127,1209.675
T141-75-327,35.9,22.4,10.5,75.0,128,1228.8
T141-75-328,35.9,22.4,10.5,75.0,129,1248.075
T141-75-329,35.9,22.4,10.5,75.0,130,1267.5
T141-75-330,35.9,22.4,10.5,75.0,131,1287.075
T141-75-331,35.9,22.4,10.5,75.0,132,1306.8
T141-75-332,35.9,22.4,10.5,75.0,133,1326.675
T141-75-333,35.9,22.4,10.5,75.0,134,1346.7
T141-75-334,35.9,22.4,10.5,75.0,135,1366.875
T141-75-335,35.9,22.4,10.5,75.0,136,1387.2
T141-75-336,35.9,22.4,10.5,75.0,137,1407.675
T141-75-337,35.9,22.4,10.5,75.0,138,1428.3
T141-75-338,35.9,22.4,10.5,75.0,139,1449.075
T141-75-339,35.9,22.4,10.5,75.0,140,1470.0
T141-75-340,35.9,22.4,10.5,75.0,141,1491.075
T141-75-341,35.9,22.4,10.5,75.0,142,1512.3
T141-75-342,35.9,22.4,10.5,75.0,143,1533.675
T141-75-343,35.9,22.4,10.5,75.0,144,1555.2
T141-75-344,35.9,22.4,10.5,75.0,145,1576.875
T141-75-345,35.9,22.4,10.5,75.0,146,1598.7
T141-75-346,35.9,22.4,10.5,75.0,147,1620.675
T141-75-347,35.9,22.4,10.5,75.0,148,1642.8
T141-75-348,35.9,22.4,10.5,75.0,149,1665.075
T141-75-349,35.9,22.4,10.5,75.0,150,1687.5
T141-75-350,35.9,22.4,10.5,75.0,151,1710.075
T141-75-351,35.9,22.4,10.5,75.0,152,1732.8
T141-75-352,35.9,22.4,10.5,75.0,153,1755.675
T141-75-353,35.9,22.4,10.5,75.0,154,1778.7
T141-75-354,35.9,22.4,10.5,75.0,155,1801.875
T141-75-355,35.9,22.4,10.5,75.0,156,1825.2
T141-75-356,35.9,22.4,10.5,75.0,157,1848.675
T141-75-357,35.9,22.4,10.5,75.0,158,1872.3
T141-75-358,35.9,22.4,10.5,75.0,159,1896.075
T141-75-359,35.9,22.4,10.5,75.0,160,1920.0
T141-75-360,35.9,22.4,10.5,75.0,161,1944.075
T141-75-361,35.9,22.4,10.5,75.0,162,1968.3
T141-75-362,35.9,22.4,10.5,75.0,163,1992.675
T250-75-211,63.5,31.8,25.4,242.0,12,34.848
T250-75-212,63.5,31.8,25.4,242.0,13,40.898
T250-75-213,63.5,31.8,25.4,242.0,14,47.432
T250-75-214,63.5,31.8,25.4,242.0,15,54.45
T250-75-215,63.5,31.8,25.4,242.0,16,61.952
T250-75-216,63.5,31.8,25.4,242.0,17,69.938
T250-75-217,63.5,31.8,25.4,242.0,18,78.408
T250-75-218,63.5,31.8,25.4,242.0,19,87.362
T250-75-219,63.5,31.8,25.4,242.0,20,96.8
T250-75-220,63.5,31.8,25.4,242.0,21,106.722
T250-75-221,63.5,31.8,25.4,242.0,22,117.128
T250-75-222,63.5,31.8,25.4,242.0,23,128.018
T250-75-223,63.5,31.8,25.4,242.0,24,139.392
T250-75-224,63.5,31.8,25.4,242.0,25,151.25
T250-75-225,63.5,31.8,25.4,242.0,26,163.592
T250-75-226,63.5,31.8,25.4,242.0,27,176.418
T250-75-227,63.5,31.8,25.4,242.0,28,189.728
T250-75-228,63.5,31.8,25.4,242.0,29,203.522
T250-75-229,63.5,31.8,25.4,242.0,30,217.8
T250-75-230,63.5,31.8,25.4,242.0,31,232.562
T250-75-231,63.5,31.8,25.4,242.0,32,247.808
T250-75-232,63.5,31.8,25.4,242.0,33,263.538
T250-75-233,63.5,31.8,25.4,242.0,34,279.752
T250-75-234,63.5,31.8,25.4,242.0,35,296.45
T250-75-235,63.5,31.8,25.4,242.0,36,313.632
T250-75-236,63.5,31.8,25.4,242.0,37,331.298
T250-75-237,63.5,31.8,25.4,242.0,38,349.448
T250-75-238,63.5,31.8,25.4,242.0,39,368.082
T250-75-239,63.5,31.8,25.4,242.0,40,387.2
T250-75-240,63.5,31.8,25.4,242.0,41,406.802
T250-75-241,63.5,31.8,25.4,242.0,42,426.888
T250-75-242,63.5,31.8,25.4,242.0,43,447.458
T250-75-243,63.5,31.8,25.4,242.0,44,468.512
T250-75-244,63.5,31.8,25.4,242.0,45,490.05
T250-75-245,63.5,31.8,25.4,242.0,46,512.072
T250-75-246,63.5,31.8,25.4,242.0,47,534.578
T250-75-247,63.5,31.8,25.4,242.0,48,557.568
T250-75-248,63.5,31.8,25.4,242.0,49,581.042
T250-75-249,63.5,31.8,25.4,242.0,50,605.0
T250-75-250,63.5,31.8,25.4,242.0,51,629.442
T250-75-251,63.5,31.8,25.4,242.0,52,654.368
T250-75-252,63.5,31.8,25.4,242.0,53,679.778
T250-75-253,63.5,31.8,25.4,242.0,54,705.672
T250-75-254,63.5,31.8,25.4,242.0,55,732.05
T250-75-255,63.5,31.8,25.4,242.0,56,758.912
T250-75-256,63.5,31.8,25.4,242.0,57,786.258
T250-75-257,63.5,31.8,25.4,242.0,58,814.088
T250-75-258,63.5,31.8,25.4,242.0,59,842.402
T250-75-259,63.5,31.8,25.4,242.0,60,871.2
T250-75-260,63.5,31.8,25.4,242.0,61,900.482
T250-75-261,63.5,31.8,25.4,242.0,62,930.248
T250-75-262,63.5,31.8,25.4,242.0,63,960.498
T250-75-263,63.5,31.8,25.4,242.0,64,991.232
T250-75-264,63.5,31.8,25.4,242.0,65,1022.45
T250-75-265,63.5,31.8,25.4,242.0,66,1054.152
T250-75-266,63.5,31.8,25.4,242.0,67,1086.338
T250-75-267,63.5,31.8,25.4,242.0,68,1119.008
T250-75-268,63.5,31.8,25.4,242.0,69,1152.162
T250-75-269,63.5,31.8,25.4,242.0,70,1185.8
T250-75-270,63.5,31.8,25.4,242.0,71,1219.922
T250-75-271,63.5,31.8,25.4,242.0,72,1254.528
T250-75-272,63.5,31.8,25.4,242.0,73,1289.618
T250-75-273,63.5,31.8,25.4,242.0,74,1325.192
T250-75-274,63.5,31.8,25.4,242.0,75,1361.25
T250-75-275,63.5,31.8,25.4,242.0,76,1397.792
T250-75-276,63.5,31.8,25.4,242.0,77,1434.818
T250-75-277,63.5,31.8,25.4,242.0,78,1472.328
T250-75-278,63.5,31.8,25.4,242.0,79,1510.322
T250-75-279,63.5,31.8,25.4,242.0,80,1548.8
T250-75-280,63.5,31.8,25.4,242.0,81,1587.762
T250-75-281,63.5,31.8,25.4,242.0,82,1627.208
T250-75-282,63.5,31.8,25.4,242.0,83,1667.138
T250-75-283,63.5,31.8,25.4,242.0,84,1707.552
T250-75-284,63.5,31.8,25.4,242.0,85,1748.45
T250-75-285,63.5,31.8,25.4,242.0,86,1789.832
T250-75-286,63.5,31.8,25.4,242.0,87,1831.698
T250-75-287,63.5,31.8,25.4,242.0,88,1874.048
T250-75-288,63.5,31.8,25.4,242.0,89,1916.882
T250-75-289,63.5,31.8,25.4,242.0,90,1960.2
